,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
76,1,59.0,402,0.026290188019629568,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.6,8192
77,2,59.0,603,0.04696808700100519,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.6,8192
78,4,61.0,1007,0.08287621100316755,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
79,8,61.0,1811,0.14921307901386172,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
80,16,61.0,3419,0.2772661400085781,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
81,32,61.0,6635,0.5375345650245436,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
82,64,61.0,13067,1.0403899450029712,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
83,128,61.0,25931,2.048192681017099,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
84,256,61.0,51659,4.020407930016518,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
85,512,61.0,101507,7.867948847007938,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
86,1024,61.0,101507,7.867948847007938,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
87,2048,61.0,101507,7.867948847007938,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
88,4096,61.0,101507,7.867948847007938,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
89,8192,61.0,101507,7.867948847007938,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,0.6,8192
90,0,0.0,300,0.00867360201664269,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",300,0.4,8192
91,1,59.0,602,0.037219197023659945,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",300,0.4,8192
92,2,61.0,904,0.06594582201796584,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
93,4,61.0,1506,0.11740355999791063,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
94,8,61.0,2710,0.21399135401588865,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
95,16,61.0,5118,0.4027662690205034,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
96,32,61.0,9934,0.7721586990228388,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
97,64,61.0,19566,1.5045628689986188,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
98,128,61.0,38830,2.9673653460049536,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
99,256,61.0,77358,5.902552758023376,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
100,512,61.0,151404,11.596030966000399,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",300,0.4,8192
