,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_mutation_rates,param_pop_size,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
23,373.53053879737854,0.02532792091369629,0.039716482162475586,0.007244586944580078,relu,"[500, 500, 10]",100.0,0.4,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.4, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
24,151.95129072666168,0.03622400760650635,0.05869936943054199,0.004866838455200195,tanh,"[500, 500, 10]",0.1,0.2,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.2, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
25,295.4698166847229,0.6401822566986084,0.060083985328674316,0.004652142524719238,tanh,"[500, 500, 10]",0.1,0.2,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.2, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
26,433.6570522785187,1.0063929557800293,0.06115448474884033,0.007003903388977051,tanh,"[500, 500, 10]",0.1,0.2,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.2, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
27,152.1734493970871,1.2474116086959839,0.06226646900177002,0.007773280143737793,tanh,"[500, 500, 10]",0.1,0.4,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.4, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
28,295.6859449148178,1.2883440256118774,0.05453753471374512,0.0006260871887207031,tanh,"[500, 500, 10]",0.1,0.4,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.4, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
29,431.36642372608185,2.7972975969314575,0.04056668281555176,0.0008027553558349609,tanh,"[500, 500, 10]",0.1,0.4,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.4, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
30,152.1492441892624,0.6082788705825806,0.05882537364959717,0.012689709663391113,tanh,"[500, 500, 10]",1.0,0.2,10,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.2, 'pop_size': 10}",0.32328219919244755,0.3918084792782618,0.3575453392353547,0.03426314004290712,33,0.35146646395863623,0.3800233350372729,0.3657448994979546,0.014278435539318346
31,295.5961638689041,0.5400923490524292,0.04076874256134033,7.545948028564453e-05,tanh,"[500, 500, 10]",1.0,0.2,20,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.2, 'pop_size': 20}",0.2911797262829438,0.43975997754062296,0.3654698519117834,0.07429012562883958,25,0.3112795983086561,0.4440895504106731,0.3776845743596646,0.06640497605100851
32,432.4165610074997,0.13072097301483154,0.0468904972076416,0.006642580032348633,tanh,"[500, 500, 10]",1.0,0.2,30,"{'activation': <function tanh at 0x7f9d02a79870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.2, 'pop_size': 30}",0.4396214940805651,0.30854115162885426,0.3740813228547097,0.06554017122585543,17,0.43723897339512824,0.34205012417607594,0.38964454878560206,0.04759442460952615
